feature,importance
damage_DR,0.8022108525354004
digits_sum,0.13508297529960797
season_SR2020,0.0279007766140658
stage_code_M,0.0195377221643344
len_name,0.009218003139551696
stage_code_F,0.0027042102280512193
stage_code_V,0.0019244068728395505
stage_code_S,0.0007341306000706921
season_LR2020,0.0005131454528966906
season_SR2021,0.00010966519945284649
season_LR2021,6.411189372879354e-05
damage_DS,0.0
damage_G,0.0
damage_WN,0.0
damage_WD,0.0
damage_PS,0.0
has_jpg,0.0
has_jpeg,0.0
damage_ND,0.0
damage_FD,0.0
